_id,estStatusDesc,enfrID,inspID,infrTypeCD,postal,rowNo,addr,estName,infrAction,lon,servID,enfrOutcome,unit,infrTypeDesc,enfrAmountFined,inspStatusDesc,enfrOutcomeDate,lat,servTypeCD,inspDate,infrID,addrID,estID,servTypeDesc,estStatusCD
13155202,Pass,,72246,10005,M1G,1,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556681,,,Single-use items used on one client only,,Conditional,,43.76249604,7017,2016-11-09T00:00:00,8460,2907806,3644116,Nails,PASS
13155203,Pass,,72246,10011,M1G,2,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556681,,,Semi-critical items maintained in a sanitary manner before use,,Conditional,,43.76249604,7017,2016-11-09T00:00:00,8461,2907806,3644116,Nails,PASS
13155204,Pass,,72246,10015,M1G,3,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556681,,,Work surfaces cleaned then disinfected with a LLD daily,,Conditional,,43.76249604,7017,2016-11-09T00:00:00,8462,2907806,3644116,Nails,PASS
13155205,Pass,,72247,10012,M1G,4,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556682,,,Semi-critical items cleaned then disinfected with an ILD or HLD between clients,,Conditional,,43.76249604,7018,2016-11-09T00:00:00,8463,2907806,3644116,Aesthetics,PASS
13155206,Pass,,72247,10015,M1G,5,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556682,,,Work surfaces cleaned then disinfected with a LLD daily,,Conditional,,43.76249604,7018,2016-11-09T00:00:00,8464,2907806,3644116,Aesthetics,PASS
13155207,Pass,,72248,10005,M1G,6,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556681,,,Single-use items used on one client only,,Conditional,,43.76249604,7017,2016-11-15T00:00:00,8465,2907806,3644116,Nails,PASS
13155208,Pass,,72248,10011,M1G,7,3770 LAWRENCE AVE E,PINK NAILS & SPA,Notice to Comply,-79.21423654,556681,,,Semi-critical items maintained in a sanitary manner before use,,Conditional,,43.76249604,7017,2016-11-15T00:00:00,8466,2907806,3644116,Nails,PASS
13155209,Pass,,82477,10012,M5G,8,109 DUNDAS ST W,NAILS FOR YOU AND SPA,Notice to Comply,-79.3841334,560046,,,Semi-critical items cleaned then disinfected with an ILD or HLD between clients,,Conditional,,43.65543522,7017,2016-07-26T00:00:00,10923,2966138,3842454,Nails,PASS
13155210,Pass,,82478,10006,M5G,9,109 DUNDAS ST W,NAILS FOR YOU AND SPA,Notice to Comply,-79.3841334,560047,,,Products dispensed in a manner to prevent contamination,,Conditional,,43.65543522,7018,2016-07-26T00:00:00,10924,2966138,3842454,Aesthetics,PASS
13155211,Pass,,82482,10006,M5G,10,109 DUNDAS ST W,NAILS FOR YOU AND SPA,Notice to Comply,-79.3841334,560046,,,Products dispensed in a manner to prevent contamination,,Conditional,,43.65543522,7017,2016-11-10T00:00:00,10925,2966138,3842454,Nails,PASS
